Id,Class
1,"1 Cent,Australian dollar,australia"
2,"1 Cent,Australian dollar,australia"
3,"1 Cent,Australian dollar,australia"
4,"1 Cent,Australian dollar,australia"
5,"1 Cent,Australian dollar,australia"
6,"1 Cent,Australian dollar,australia"
7,"1 Cent,Australian dollar,australia"
8,"1 Cent,Australian dollar,australia"
9,"1 Cent,Australian dollar,australia"
10,"1 Cent,Australian dollar,australia"
11,"1 Cent,Australian dollar,australia"
12,"1 Cent,Australian dollar,australia"
13,"1 Cent,Australian dollar,australia"
14,"1 Cent,Australian dollar,australia"
15,"1 Cent,Australian dollar,australia"
16,"1 Cent,Australian dollar,australia"
17,"1 Cent,Australian dollar,australia"
18,"1 Cent,Australian dollar,australia"
19,"1 Cent,Australian dollar,australia"
20,"1 Cent,Australian dollar,australia"
21,"1 Cent,Australian dollar,australia"
22,"1 Cent,Australian dollar,australia"
23,"1 Cent,Australian dollar,australia"
24,"1 Cent,Australian dollar,australia"
25,"1 Cent,Australian dollar,australia"
26,"1 Cent,Australian dollar,australia"
27,"1 Cent,Australian dollar,australia"
28,"1 Cent,Australian dollar,australia"
29,"1 Cent,Australian dollar,australia"
30,"1 Cent,Australian dollar,australia"
31,"1 Cent,Australian dollar,australia"
32,"1 Cent,Australian dollar,australia"
37,"2 Cents,Australian dollar,australia"
38,"2 Cents,Australian dollar,australia"
39,"2 Cents,Australian dollar,australia"
40,"2 Cents,Australian dollar,australia"
41,"2 Cents,Australian dollar,australia"
42,"2 Cents,Australian dollar,australia"
43,"2 Cents,Australian dollar,australia"
44,"2 Cents,Australian dollar,australia"
45,"2 Cents,Australian dollar,australia"
46,"2 Cents,Australian dollar,australia"
47,"2 Cents,Australian dollar,australia"
48,"2 Cents,Australian dollar,australia"
49,"2 Cents,Australian dollar,australia"
50,"2 Cents,Australian dollar,australia"
51,"2 Cents,Australian dollar,australia"
52,"2 Cents,Australian dollar,australia"
53,"2 Cents,Australian dollar,australia"
54,"2 Cents,Australian dollar,australia"
55,"2 Cents,Australian dollar,australia"
56,"2 Cents,Australian dollar,australia"
57,"2 Cents,Australian dollar,australia"
58,"2 Cents,Australian dollar,australia"
59,"2 Cents,Australian dollar,australia"
60,"2 Cents,Australian dollar,australia"
61,"2 Cents,Australian dollar,australia"
62,"2 Cents,Australian dollar,australia"
63,"2 Cents,Australian dollar,australia"
64,"2 Cents,Australian dollar,australia"
65,"2 Cents,Australian dollar,australia"
66,"2 Cents,Australian dollar,australia"
67,"2 Cents,Australian dollar,australia"
68,"2 Cents,Australian dollar,australia"
73,"5 Cents,Australian dollar,australia"
74,"5 Cents,Australian dollar,australia"
75,"5 Cents,Australian dollar,australia"
76,"5 Cents,Australian dollar,australia"
77,"5 Cents,Australian dollar,australia"
78,"5 Cents,Australian dollar,australia"
79,"5 Cents,Australian dollar,australia"
80,"5 Cents,Australian dollar,australia"
81,"5 Cents,Australian dollar,australia"
82,"5 Cents,Australian dollar,australia"
83,"5 Cents,Australian dollar,australia"
84,"5 Cents,Australian dollar,australia"
85,"5 Cents,Australian dollar,australia"
86,"5 Cents,Australian dollar,australia"
87,"5 Cents,Australian dollar,australia"
88,"5 Cents,Australian dollar,australia"
89,"5 Cents,Australian dollar,australia"
90,"5 Cents,Australian dollar,australia"
91,"5 Cents,Australian dollar,australia"
92,"5 Cents,Australian dollar,australia"
93,"5 Cents,Australian dollar,australia"
94,"5 Cents,Australian dollar,australia"
95,"5 Cents,Australian dollar,australia"
96,"5 Cents,Australian dollar,australia"
97,"5 Cents,Australian dollar,australia"
98,"5 Cents,Australian dollar,australia"
99,"5 Cents,Australian dollar,australia"
100,"5 Cents,Australian dollar,australia"
101,"5 Cents,Australian dollar,australia"
102,"5 Cents,Australian dollar,australia"
107,"10 Cents,Australian dollar,australia"
108,"10 Cents,Australian dollar,australia"
109,"10 Cents,Australian dollar,australia"
110,"10 Cents,Australian dollar,australia"
111,"10 Cents,Australian dollar,australia"
112,"10 Cents,Australian dollar,australia"
113,"10 Cents,Australian dollar,australia"
114,"10 Cents,Australian dollar,australia"
115,"10 Cents,Australian dollar,australia"
116,"10 Cents,Australian dollar,australia"
117,"10 Cents,Australian dollar,australia"
118,"10 Cents,Australian dollar,australia"
119,"10 Cents,Australian dollar,australia"
120,"10 Cents,Australian dollar,australia"
121,"10 Cents,Australian dollar,australia"
122,"10 Cents,Australian dollar,australia"
123,"10 Cents,Australian dollar,australia"
124,"10 Cents,Australian dollar,australia"
125,"10 Cents,Australian dollar,australia"
126,"10 Cents,Australian dollar,australia"
127,"10 Cents,Australian dollar,australia"
128,"10 Cents,Australian dollar,australia"
129,"10 Cents,Australian dollar,australia"
130,"10 Cents,Australian dollar,australia"
131,"10 Cents,Australian dollar,australia"
132,"10 Cents,Australian dollar,australia"
133,"10 Cents,Australian dollar,australia"
134,"10 Cents,Australian dollar,australia"
135,"10 Cents,Australian dollar,australia"
136,"10 Cents,Australian dollar,australia"
141,"20 Cents,Australian dollar,australia"
142,"20 Cents,Australian dollar,australia"
143,"20 Cents,Australian dollar,australia"
144,"20 Cents,Australian dollar,australia"
145,"20 Cents,Australian dollar,australia"
146,"20 Cents,Australian dollar,australia"
147,"20 Cents,Australian dollar,australia"
148,"20 Cents,Australian dollar,australia"
149,"20 Cents,Australian dollar,australia"
150,"20 Cents,Australian dollar,australia"
151,"20 Cents,Australian dollar,australia"
152,"20 Cents,Australian dollar,australia"
153,"20 Cents,Australian dollar,australia"
154,"20 Cents,Australian dollar,australia"
155,"20 Cents,Australian dollar,australia"
156,"20 Cents,Australian dollar,australia"
157,"20 Cents,Australian dollar,australia"
158,"20 Cents,Australian dollar,australia"
159,"20 Cents,Australian dollar,australia"
160,"20 Cents,Australian dollar,australia"
161,"20 Cents,Australian dollar,australia"
162,"20 Cents,Australian dollar,australia"
163,"20 Cents,Australian dollar,australia"
164,"20 Cents,Australian dollar,australia"
165,"20 Cents,Australian dollar,australia"
166,"20 Cents,Australian dollar,australia"
167,"20 Cents,Australian dollar,australia"
171,"50 Cents,Australian dollar,australia"
172,"50 Cents,Australian dollar,australia"
173,"50 Cents,Australian dollar,australia"
174,"50 Cents,Australian dollar,australia"
175,"50 Cents,Australian dollar,australia"
176,"50 Cents,Australian dollar,australia"
177,"50 Cents,Australian dollar,australia"
178,"50 Cents,Australian dollar,australia"
179,"50 Cents,Australian dollar,australia"
180,"50 Cents,Australian dollar,australia"
181,"50 Cents,Australian dollar,australia"
182,"50 Cents,Australian dollar,australia"
183,"50 Cents,Australian dollar,australia"
184,"50 Cents,Australian dollar,australia"
185,"50 Cents,Australian dollar,australia"
186,"50 Cents,Australian dollar,australia"
187,"50 Cents,Australian dollar,australia"
188,"50 Cents,Australian dollar,australia"
189,"50 Cents,Australian dollar,australia"
190,"50 Cents,Australian dollar,australia"
191,"50 Cents,Australian dollar,australia"
192,"50 Cents,Australian dollar,australia"
193,"50 Cents,Australian dollar,australia"
194,"50 Cents,Australian dollar,australia"
195,"50 Cents,Australian dollar,australia"
196,"50 Cents,Australian dollar,australia"
197,"50 Cents,Australian dollar,australia"
198,"50 Cents,Australian dollar,australia"
203,"1 Dollar,Australian dollar,australia"
204,"1 Dollar,Australian dollar,australia"
205,"1 Dollar,Australian dollar,australia"
206,"1 Dollar,Australian dollar,australia"
207,"1 Dollar,Australian dollar,australia"
208,"1 Dollar,Australian dollar,australia"
209,"1 Dollar,Australian dollar,australia"
210,"1 Dollar,Australian dollar,australia"
211,"1 Dollar,Australian dollar,australia"
212,"1 Dollar,Australian dollar,australia"
213,"1 Dollar,Australian dollar,australia"
214,"1 Dollar,Australian dollar,australia"
215,"1 Dollar,Australian dollar,australia"
216,"1 Dollar,Australian dollar,australia"
217,"1 Dollar,Australian dollar,australia"
218,"1 Dollar,Australian dollar,australia"
219,"1 Dollar,Australian dollar,australia"
220,"1 Dollar,Australian dollar,australia"
221,"1 Dollar,Australian dollar,australia"
222,"1 Dollar,Australian dollar,australia"
223,"1 Dollar,Australian dollar,australia"
224,"1 Dollar,Australian dollar,australia"
225,"1 Dollar,Australian dollar,australia"
226,"1 Dollar,Australian dollar,australia"
227,"1 Dollar,Australian dollar,australia"
228,"1 Dollar,Australian dollar,australia"
229,"1 Dollar,Australian dollar,australia"
230,"1 Dollar,Australian dollar,australia"
231,"1 Dollar,Australian dollar,australia"
232,"1 Dollar,Australian dollar,australia"
233,"1 Dollar,Australian dollar,australia"
234,"1 Dollar,Australian dollar,australia"
239,"2 Dollars,Australian dollar,australia"
240,"2 Dollars,Australian dollar,australia"
241,"2 Dollars,Australian dollar,australia"
242,"2 Dollars,Australian dollar,australia"
243,"2 Dollars,Australian dollar,australia"
244,"2 Dollars,Australian dollar,australia"
245,"2 Dollars,Australian dollar,australia"
246,"2 Dollars,Australian dollar,australia"
247,"2 Dollars,Australian dollar,australia"
248,"2 Dollars,Australian dollar,australia"
249,"2 Dollars,Australian dollar,australia"
250,"2 Dollars,Australian dollar,australia"
251,"2 Dollars,Australian dollar,australia"
252,"2 Dollars,Australian dollar,australia"
253,"2 Dollars,Australian dollar,australia"
254,"2 Dollars,Australian dollar,australia"
255,"2 Dollars,Australian dollar,australia"
256,"2 Dollars,Australian dollar,australia"
257,"2 Dollars,Australian dollar,australia"
258,"2 Dollars,Australian dollar,australia"
259,"2 Dollars,Australian dollar,australia"
260,"2 Dollars,Australian dollar,australia"
261,"2 Dollars,Australian dollar,australia"
262,"2 Dollars,Australian dollar,australia"
263,"2 Dollars,Australian dollar,australia"
264,"2 Dollars,Australian dollar,australia"
265,"2 Dollars,Australian dollar,australia"
266,"2 Dollars,Australian dollar,australia"
267,"2 Dollars,Australian dollar,australia"
268,"2 Dollars,Australian dollar,australia"
269,"2 Dollars,Australian dollar,australia"
270,"2 Dollars,Australian dollar,australia"
275,"1 Centavo,Brazilian Real,brazil"
276,"1 Centavo,Brazilian Real,brazil"
277,"1 Centavo,Brazilian Real,brazil"
278,"1 Centavo,Brazilian Real,brazil"
279,"1 Centavo,Brazilian Real,brazil"
280,"1 Centavo,Brazilian Real,brazil"
281,"1 Centavo,Brazilian Real,brazil"
282,"1 Centavo,Brazilian Real,brazil"
283,"1 Centavo,Brazilian Real,brazil"
284,"1 Centavo,Brazilian Real,brazil"
285,"1 Centavo,Brazilian Real,brazil"
286,"1 Centavo,Brazilian Real,brazil"
287,"1 Centavo,Brazilian Real,brazil"
288,"1 Centavo,Brazilian Real,brazil"
289,"1 Centavo,Brazilian Real,brazil"
290,"1 Centavo,Brazilian Real,brazil"
291,"1 Centavo,Brazilian Real,brazil"
292,"1 Centavo,Brazilian Real,brazil"
293,"1 Centavo,Brazilian Real,brazil"
294,"1 Centavo,Brazilian Real,brazil"
295,"1 Centavo,Brazilian Real,brazil"
296,"1 Centavo,Brazilian Real,brazil"
297,"1 Centavo,Brazilian Real,brazil"
298,"1 Centavo,Brazilian Real,brazil"
299,"1 Centavo,Brazilian Real,brazil"
300,"1 Centavo,Brazilian Real,brazil"
301,"1 Centavo,Brazilian Real,brazil"
302,"1 Centavo,Brazilian Real,brazil"
303,"1 Centavo,Brazilian Real,brazil"
304,"1 Centavo,Brazilian Real,brazil"
305,"1 Centavo,Brazilian Real,brazil"
306,"1 Centavo,Brazilian Real,brazil"
311,"5 Centavos,Brazilian Real,brazil"
312,"5 Centavos,Brazilian Real,brazil"
313,"5 Centavos,Brazilian Real,brazil"
314,"5 Centavos,Brazilian Real,brazil"
315,"5 Centavos,Brazilian Real,brazil"
316,"5 Centavos,Brazilian Real,brazil"
317,"5 Centavos,Brazilian Real,brazil"
318,"5 Centavos,Brazilian Real,brazil"
319,"5 Centavos,Brazilian Real,brazil"
320,"5 Centavos,Brazilian Real,brazil"
321,"5 Centavos,Brazilian Real,brazil"
322,"5 Centavos,Brazilian Real,brazil"
323,"5 Centavos,Brazilian Real,brazil"
324,"5 Centavos,Brazilian Real,brazil"
325,"5 Centavos,Brazilian Real,brazil"
326,"5 Centavos,Brazilian Real,brazil"
327,"5 Centavos,Brazilian Real,brazil"
